"","X.1","X","Special","Organization.Name","Majors","CompSci","AllMajors","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","Seeking_Major","value"
"171",171,171,NA,"Tableau Software","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"172",173,173,NA,"Techemet Metal Trading","CS, Math",TRUE,FALSE,TRUE,"BA, MS","FT","No","CS","CS"
"173",174,174,NA,"Telogis","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"174",175,175,NA,"Teradata","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"175",177,177,NA,"Texas Instruments","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"176",179,179,NA,"Textron","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"177",181,181,NA,"The Dow Chemical Company","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"178",182,182,NA,"Thomson Reuters","Math, Stats, CS, Physics",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"179",183,183,NA,"Thoughtworks","CS",TRUE,FALSE,FALSE,NA,"FT","No","CS","CS"
"180",184,184,NA,"TIBCO Software Inc.","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","No","CS","CS"
"181",185,185,NA,"Tinker Air Force Base Civilian Employment","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT","Yes","CS","CS"
"182",187,187,NA,"TripAdvisor","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"183",188,188,NA,"Turnitin","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT","Yes","CS","CS"
"184",189,189,NA,"Twitter","Stats, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"185",191,191,NA,"UnboundID","CS",TRUE,FALSE,FALSE,"BS","Intern","Yes","CS","CS"
"186",192,192,NA,"Under Armour","Textiles and Apparel, Physics, Math, CS",TRUE,FALSE,TRUE,"BS","Intern","No","CS","CS"
"187",193,193,NA,"Union Pacific Railroad","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"188",194,194,NA,"UnitedHealth Group","CS",TRUE,FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"189",195,195,NA,"US Army Aviation and Missile Research, Development, and Engineering Center","Chem, CS, Math, Physics, Stats",TRUE,FALSE,TRUE,NA,"FT","Yes","CS","CS"
"190",198,198,"Actuarial Section","USAA","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"191",199,199,NA,"uShip","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"Intern","No","CS","CS"
"192",202,202,NA,"Vectra Networks","CS",TRUE,FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","CS","CS"
"193",203,203,NA,"Verizon","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"194",204,204,NA,"Visa","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"195",205,205,NA,"VML","CS, Physics, Math, Stats, TXA",TRUE,FALSE,TRUE,NA,"FT, Intern","No","CS","CS"
